"Reference No","Student Name","Class","Father Name","Date of Birth","Gender","Category","Student Mobile Number","Form Status","Payment Status","Enrolled"
"","Kavya Roy","Class 1(A)","Kittu","08/07/2009","Female","","987654311","Not Submitted","Unpaid","Yes"
"","Jey Lord","Class 1(A)","Joy","15/04/2021","Female","","2289292929","Not Submitted","Unpaid","No"
"","Semon Jonson","Class 1(A)","Cathenna","05/01/2009","Male","","787654444","Not Submitted","Unpaid","No"
"","Adelina elina","Class 3(A)","Devil elina","10/03/2021","Female","","6676666","Not Submitted","Unpaid","No"
"","Chiyo Roy","Class 2(A)","Apolline Roy","12/05/2021","Female","","676544444","Not Submitted","Unpaid","Yes"
"707524","Apolline","Class 1(A)","Elanie","16/02/2010","Male","","895412630","Submitted","Unpaid","Yes"
"548137","Devin Coinneach","Class 1(A)","","25/06/2021","Male","","7411478552","Not Submitted","Unpaid","Yes"
"347787","Ethan","Class 2(A)","","10/06/2009","Male","","85285412693","Submitted","Paid","No"
"770138","Steffan  Crown","Class 3(A)","Dev Crown","16/06/2009","Female","","8527419630","Submitted","Paid","Yes"
"515618","Karuna Rana","Class 1(A)","","16/06/2009","Female","","789654123","Submitted","Paid","Yes"
"973150","Rahul Sinha","Class 1(A)","","10/02/2010","Male","","8527413690","Submitted","Paid","Yes"
"451059","Jams Kord","Class 2(A)","","14/05/2019","Male","","96325825","Submitted","Paid","No"
"947662","Kohili Layra","Class 1(A)","","23/06/2009","Male","General","8523697412","Submitted","Paid","Yes"
"682337","Abhimanyu Raj","Class 1(A)","","07/07/2011","Male","","","Not Submitted","Unpaid","No"
"981123","Chino Fizz","Class 1(A)","Reyes Fizz","11/06/2014","Male","General","7412589630","Submitted","Paid","Yes"
"955189","Sani Malik","Class 1(A)","Mohit","24/06/2014","Male","","96968574556","Not Submitted","Unpaid","Yes"
"613281","Noah Roy","Class 1(A)","","16/11/2005","Female","","852741930","Not Submitted","Unpaid","No"
"753324","Abhimanyu Sinha","Class 1(A)","","08/06/2017","Male","","857493210","Submitted","Paid","No"
"802314","David Wood","Class 1(A)","","13/05/2013","Male","","98776854","Submitted","Paid","No"
"125941","William wood","Class 2(A)","","16/07/2015","Male","","8475546454","Submitted","Paid","No"
"123972","sara Wick","Class 1(A)","","19/08/2016","Female","","9854745654","Submitted","Paid","No"
"367149","Feria  Jon","Class 1(A)","","15/06/2010","Female","","7896541230","Not Submitted","Unpaid","No"
"959327","Vidhusi Jain","Class 2(A)","","11/07/2007","Male","","987657865678","Submitted","Paid","No"
"980471","Abhimanyu Raj","Class 1(A)","","16/07/1996","Male","","789541230","Submitted","Paid","No"
"135115","Mohit Raina","Class 1(A)","Ravi Raina","16/06/2010","Male","General","789412305","Submitted","Paid","Yes"
"823615","Kenal Dezzy","Class 2(A)","Rey Dezzy","29/03/2022","Male","Physically Challenged","7748965525","Not Submitted","Unpaid","Yes"
"852184","Ahmad Khan","Class 4(A)","Anjuman Khan","10/06/2010","Male","","789524135","Not Submitted","Unpaid","Yes"
"929518","Jenny Sen","Class 1(A)","","12/06/2003","Female","","8857493210","Submitted","Paid","No"
"140891","Tanmay Roy","Class 1(A)","","08/02/2022","Male","","8521479630","Submitted","Paid","No"
"296732","DHARAMBIR SINGH","Class 1(A)","Bimlesh","11/02/2020","Male","General","85252287252542","Submitted","Paid","Yes"
"647366","MD RAZI ALAM","Class 2(A)","","12/07/2022","Male","","8879654130","Submitted","Paid","No"
"524087","Guru Rana","Class 1(A)","Nakul Rana","07/06/2022","Male","General","8574693210","Submitted","Paid","Yes"
"359210","Chiyo Measy","Class 1(A)","","13/06/2019","Female","","6236558548","Submitted","Paid","Yes"
"332342","Aaron Gupta","Class 1(A)","","18/07/2015","Male","","857493210","Not Submitted","Unpaid","No"
"646829","Brayden Sen","Class 2(A)","","19/06/2018","Female","","77895412300","Submitted","Paid","No"
